first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Barry,,Loudermilk,2238,RepLoudermilk,GA,,,R
Mia,,Love,2271,RepMiaLove,UT,,,R
Darin,M.,LaHood,,,IL,,,R
Carolyn,B.,Maloney,729,RepMaloney,NY,,,D
Jim,,McGovern,1504,RepMcGovern,MA,,,D
Jim,,McDermott,766,RepJimMcDermott,WA,,,D
John,L.,Mica,800,,FL,,,R
Gregory,W.,Meeks,1506,GregoryMeeks,NY,,,D
Betty,,McCollum,1653,BettyMcCollum04,MN,,,D
Jeff,,Miller,1685,RepJeffMiller,FL,,,R
Candice,S.,Miller,1731,CandiceMiller,MI,,,R
Tim,,Murphy,1744,RepTimMurphy,PA,,,R
Patrick,T.,McHenry,1792,PatrickMcHenry,NC,,,R
Michael,,McCaul,1804,RepMcCaul,TX,,,R
Kenny,,Marchant,1806,RepKenMarchant,TX,,,R
Cathy,,McMorris Rodgers,1809,CathyMcMorris,WA,,,R
Gwen,,Moore,1811,RepGwenMoore,WI,,,D
Doris,,Matsui,1814,DorisMatsui,CA,,,D
Kevin,,McCarthy,1833,GOPLeader,CA,,,R
Jerry,,McNerney,1832,RepMcNerney,CA,,,D
Tom,,McClintock,1908,RepMcClintock,CA,,,R
Tom,,Marino,2053,RepTomMarino,PA,,,R
David,,McKinley,2074,RepMcKinley,WV,,,R
Pat,,Meehan,2052,RepMeehan,PA,,,R
Mick,,Mulvaney,2059,RepMickMulvaney,SC,,,R
Thomas,,Massie,2094,RepThomasMassie,KY,,,R
Sean,Patrick,Maloney,2150,RepSeanMaloney,NY,,,D
Mark,,Meadows,2142,RepMarkMeadows,NC,,,R
Grace,,Meng,2148,RepGraceMeng,NY,,,D
Luke,,Messer,2130,RepLukeMesser,IN,,,R
Markwayne,,Mullin,2156,RepMullin,OK,,,R
Patrick,,Murphy,2117,RepMurphyFL,FL,,,D
Tom,,MacArthur,2258,RepTomMacArthur,NJ,,,R
John,,Moolenaar,2248,RepMoolenaar,MI,,,R
Alex,,Mooney,2277,RepAlexMooney,WV,,,R
Seth,,Moulton,2246,sethmoulton,MA,,,D
Martha,,McSally,2225,repmcsally,AZ,,,R
Jerrold,,Nadler,850,RepJerryNadler,NY,,,D
Richard,E.,Neal,854,RepRichardNeal,MA,,,D
Rick,,Nolan,867,USRepRickNolan,MN,,,D
Eleanor,Holmes,Norton,868,EleanorNorton,DC,,,D
Grace,F.,Napolitano,1602,GraceNapolitano,CA,,,D
Devin,,Nunes,1710,Rep_DevinNunes,CA,,,R
Randy,,Neugebauer,1758,RandyNeugebauer,TX,,,R
Kristi,,Noem,2060,RepKristiNoem,SD,,,R
Richard,,Nugent,2001,RepRichNugent,FL,,,R
Alan,,Nunnelee,2034,RepAlanNunnelee,MS,,,R
Donald,W.,Norcross,2202,donnorcross4nj,NJ,,,D
Dan,,Newhouse,2275,RepNewhouse,WA,,,R
Pete,,Olson,1955,OlsonPressShop,TX,,,R
Beto,,O&#x27;Rourke,2162,RepBetoORourke,TX,,,D
Frank,,Pallone,887,FrankPallone,NJ,,,D
Bill,,Pascrell Jr.,1510,BillPascrell,NJ,,,D
Nancy,,Pelosi,905,NancyPelosi,CA,,,D
Collin,C.,Peterson,910,,MN,,,D
Joe,,Pitts,1514,RepJoePitts,PA,,,R
David,E.,Price,930,RepDavidEPrice,NC,,,D
Steve,,Pearce,1738,RepStevePearce,NM,,,R
Tom,,Price,1778,RepTomPrice,GA,,,R
Ted,,Poe,1802,JudgeTedPoe,TX,,,R
Ed,,Perlmutter,1835,RepPerlmutter,CO,,,D
